entry,lemma,language,lex_cat_wikidata,des_by_source_P1343,form1_representation,form1_spelling_variant,sense1_gloss_de,sense1_gloss_en,sense1_gloss_es,sense1_gloss_it
https://qichwa.wikibase.cloud/entity/L63,achaqay,Q5218,Q24905,Q125537856,achaqay,qu-x-Q7260479,beißen,to bite,morder,mordere
https://qichwa.wikibase.cloud/entity/L142,achuchiy,Q5218,Q24905,Q125537856,achuchiy,qu-x-Q7260479,jemanden etwas zwischen den Zähnen tragen lassen,to make someone carry something between the teeth,hacer llevar con la boca,far trasportare con la bocca
https://qichwa.wikibase.cloud/entity/L176,agradisiy,Q5218,Q24905,Q125537856,agradisiy,qu-x-Q7260479,danken,to thank,agradecer,ringraziare
https://qichwa.wikibase.cloud/entity/L242,akllachiy,Q5218,Q24905,Q125537856,akllachiy,qu-x-Q7260479,auswählen lassen,to make choose,hacer escoger,fare scegliere
https://qichwa.wikibase.cloud/entity/L244,akllamuy,Q5218,Q24905,Q125537856,akllamuy,qu-x-Q7260479,auswählen gehen,to go to choose,ir a escoger,andare a scegliere
https://qichwa.wikibase.cloud/entity/L247,akllapuy,Q5218,Q24905,Q125537856,akllapuy,qu-x-Q7260479,jemandem etwas auswählen,to choose for someone,escogérselo,sceglierlo da solo
https://qichwa.wikibase.cloud/entity/L275,akumpañay,Q5218,Q24905,Q125537856,akumpañay,qu-x-Q7260479,begleiten,to accompany,acompañar,accompagnare
https://qichwa.wikibase.cloud/entity/L345,almusay,Q5218,Q24905,Q125537856,almusay,qu-x-Q7260479,mittagessen,to have lunch,almorzar,pranzare
https://qichwa.wikibase.cloud/entity/L345,almusay,Q5218,Q24905,Q125537856,almuwirsay,qu-x-Q7260479,mittagessen,to have lunch,almorzar,pranzare
https://qichwa.wikibase.cloud/entity/L356,alqay,Q5218,Q24905,Q125537856,allqay,qu-x-Q7260479,abbrechen (aufhören),to stop,descontinuar,fermarsi
https://qichwa.wikibase.cloud/entity/L382,allachikuy,Q5218,Q24905,Q125537856,allachikuy,qu-x-Q7260479,sich selbst zum Graben veranlassen,to make oneself dig,hacerse cavar,farsi scavare
https://qichwa.wikibase.cloud/entity/L389,allamuy,Q5218,Q24905,Q125537856,allamuy,qu-x-Q7260479,hacken gehen,to go to dig,ir a cavar,andare a scavare
https://qichwa.wikibase.cloud/entity/L399,allapuy,Q5218,Q24905,Q125537856,allapuy,qu-x-Q7260479,für jemanden etwas graben,to dig for someone,cavárselo,scavare da solo
https://qichwa.wikibase.cloud/entity/L404,allarpariy,Q5218,Q24905,Q125537856,allarpariy,qu-x-Q7260479,auf einmal graben,to dig at once,cavar de una vez,scavalo in una volta sola
https://qichwa.wikibase.cloud/entity/L415,allaysiy,Q5218,Q24905,Q125537856,allaysiy,qu-x-Q7260479,graben helfen,to help to dig,ayudar a cavar,aiutare a scavare
https://qichwa.wikibase.cloud/entity/L534,allipunkapuy,Q5218,Q24905,Q125537856,allipunkapuy,qu-x-Q7260479,lösen,to resolve,resolver,risolvere
https://qichwa.wikibase.cloud/entity/L621,allpata ch'unqay,Q5218,Q24905,Q125537856,hallp'ata ch'unqay,qu-x-Q7260479,"den Boden aussaugen (die Nährstofe entfernen, wie es Pflanzen tun)",to suck the soil (remove the earth's nutrients - what plants do),"chupar el suelo (remover las sustancias nutritivas, como hacen las plantas)",succhiare il suolo; [rimuovere le sostanze nutritive come fanno le piante]
https://qichwa.wikibase.cloud/entity/L637,allpiyachiy,Q5218,Q24905,Q125537856,allpiyachiy,qu-x-Q7260479,eindicken,to thicken,espesar,inspessire; rapprendere
https://qichwa.wikibase.cloud/entity/L680,allwinayay,Q5218,Q24905,Q125537856,allwinayay,qu-x-Q7260479,bereit sein zum Zetteln (Weberei),to be ready to warp (weaving),estar a punto para urdir,essere pronti a tessere
https://qichwa.wikibase.cloud/entity/L683,allwirquy,Q5218,Q24905,Q125537856,allwirquy,qu-x-Q7260479,Anzetteln beenden (Weberei),to finish warping,acabar de urdir,finire di ordire
https://qichwa.wikibase.cloud/entity/L686,allwitamuy,Q5218,Q24905,Q125537856,allwitamuy,qu-x-Q7260479,gezettelt lassen,to keep warped,dejar urdido,lasciare ordito
https://qichwa.wikibase.cloud/entity/L693,allwiysiy,Q5218,Q24905,Q125537856,allwiysiy,qu-x-Q7260479,helfen zu zetteln (Weberei),to help to warp (weaving),ayudar a urdir,aiutare a ordire
https://qichwa.wikibase.cloud/entity/L753,amhay,Q5218,Q24905,Q125537856,amhay,qu-x-Q7260479,anekeln,to disgust,empalagar,disgustare
https://qichwa.wikibase.cloud/entity/L1009,anukachiy,Q5218,Q24905,Q125537856,hanuk'achiy,qu-x-Q7260479,entwöhnen,to wean,destetar,svezzare; [togliere il lattante dal seno materno]
https://qichwa.wikibase.cloud/entity/L1065,apachimpuy,Q5218,Q24905,Q125537856,apachimpuy,qu-x-Q7260479,"gehen, um etwas für jemanden zu senden",to go to send something for someone,ir a mandárselo,mandare (qualcosa a qualcuno)
https://qichwa.wikibase.cloud/entity/L1864,ayay,Q5218,Q24905,Q125537856,ayay,qu-x-Q7260479,etwas auf seiner Schulter tragen,to carry something on one's shoulder,llevar algo sobre el hombro,portare in spalla (qualcosa)
